layer,token_pos,token_offset,feature_dim,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_auroc,std_test_auroc
23,3,-5,896,0.6313339680524701,0.023775671029093056,0.7290867570585621,0.01877977218391216,0.6103220502013562,0.031816565878134
6,4,-4,896,0.6298741140378715,0.014371658802374667,0.7255042438943369,0.00968679144227623,0.6100143907827148,0.04780582757614367
8,4,-4,896,0.6095631016608485,0.014453729947691382,0.7059956615600089,0.008395016797354594,0.609826242960515,0.02116989536811757
9,2,-6,896,0.6342748333862266,0.018221850612746133,0.7302945962021138,0.007875150579530968,0.6093731914859649,0.042705019301739346
14,2,-6,896,0.6153707817624035,0.016811785112805875,0.7145837465299067,0.014863737524637448,0.6080977276083512,0.028336343787956957
4,1,-7,896,0.6037765788638527,0.028776656519280627,0.7024818499818499,0.026185988207384815,0.6068639593336286,0.02620286723052907
10,3,-5,896,0.632889029937586,0.03969033081107313,0.7276868288308262,0.03437950905334365,0.6062990918016691,0.06445492606833716
2,7,-1,896,0.6080820903416904,0.03329081199109245,0.6963819601421324,0.03348433402145543,0.6052546562376523,0.012008117421500309
23,6,-2,896,0.6196974505448007,0.03277361402743601,0.7159377148330546,0.02101253145350837,0.6050886970117861,0.05143799338511063
10,0,-8,896,0.6138897704432456,0.018924153398985174,0.7095303052149405,0.01388848518986819,0.604133340118379,0.049781917847925294
11,2,-6,896,0.628414260023273,0.03537116623149022,0.7231051306706748,0.029322986074239756,0.6015519919098307,0.05252250189192152
19,4,-4,896,0.593557600761663,0.026048916849763418,0.6899609762643493,0.02151904916051458,0.6003725913087555,0.028808044980576077
20,3,-5,896,0.5950280334285412,0.020928002096368154,0.687843331234753,0.021382993128974254,0.5994692073669633,0.025928464372302607
23,0,-8,896,0.62253252935576,0.04114703573731549,0.7146095386367255,0.03969788804534321,0.599059398086617,0.0554510579424448
10,4,-4,896,0.6139109277478049,0.03080761823603782,0.7099740009307604,0.025657957616544224,0.5988249897226512,0.043714743310933696
17,0,-8,896,0.6022744102401354,0.02349567491699182,0.7016021815959551,0.023691095507984504,0.5982725947012784,0.028483437019281507
11,3,-5,896,0.5965936739659368,0.04200057223493528,0.6854520936960972,0.033537707809994835,0.5979723190089044,0.06149277938232389
5,4,-4,896,0.6066645509362107,0.01932794173835725,0.7051719959573363,0.02143304568249522,0.5977524785373036,0.03516425685581756
16,0,-8,896,0.6182587538347615,0.01752842780918045,0.7153020651511566,0.017585800296396822,0.5977518549117744,0.02423338155466307
4,6,-2,896,0.6153390458055643,0.025817235023756,0.7056902807355625,0.025502312501927648,0.5974450935138954,0.02352136313782466
16,1,-7,896,0.6023378821538137,0.010002640173952294,0.7012797546757348,0.012328667822062671,0.5963870005507861,0.015125414025456847
3,7,-1,896,0.5849042631968688,0.040055105435610264,0.6766483044527611,0.03964842787150474,0.596343695994029,0.03127882892436064
10,2,-6,896,0.6154871469374802,0.0536233292734418,0.713933158064972,0.040576538323594355,0.5959822925272699,0.06729984927294708
13,3,-5,896,0.6183010684438803,0.026746812215415458,0.707193063989114,0.023713797557971792,0.5946920736696322,0.0323996572422637
11,1,-7,896,0.6182270178779223,0.0254997617772282,0.7123659844086662,0.02088743829744742,0.5943203679091283,0.045332987584812315
13,2,-6,896,0.6066751295884905,0.012453073360345462,0.7089489225909751,0.007089064659266464,0.5938365342784502,0.027207195340084193
9,0,-8,896,0.6110017983708875,0.024098035221613308,0.7047296583623044,0.017964509118586006,0.5936475383255304,0.04903412381550519
14,3,-5,896,0.615317888501005,0.03293974556884786,0.7125020141595415,0.027044809758705272,0.5935188220162761,0.025835952165088254
10,5,-3,896,0.5804718078916746,0.03205032421997283,0.6785527864237545,0.022607082750396842,0.5934291696101791,0.04777633526719836
9,4,-4,896,0.6109700624140484,0.050827996890196445,0.7037556364102763,0.0455351166569331,0.5931837729643865,0.029017844829888756
23,4,-4,896,0.628382524066434,0.03775977877467244,0.722427563967214,0.035925379474154195,0.5910885907459958,0.02816104039869833
7,1,-7,896,0.6037448429070137,0.021820033987995084,0.7031006805124452,0.021820217427035014,0.5906488474402417,0.019518506446627622
15,3,-5,896,0.6110441129800064,0.01717885189668385,0.7102094236020638,0.018625641127533253,0.5906321467485662,0.02604136585907575
11,0,-8,896,0.5950597693853803,0.01864366743711448,0.6946261365979454,0.018849411641291995,0.5896204639973498,0.025365750614591613
8,5,-3,896,0.6023696181106526,0.02887713600678979,0.6993818027986801,0.02930253916024894,0.5882149492518489,0.03326418244642486
2,6,-2,896,0.5980006347191368,0.04591415878209378,0.6874312176578298,0.0424405964361503,0.5881346761737132,0.05683860976420613
9,3,-5,896,0.5979900560668571,0.04040630588257602,0.6915010070659074,0.033609603664546704,0.5878273285678365,0.06400451705618893
22,0,-8,896,0.6007722416164182,0.03499082378542768,0.6955411181533366,0.0402335794783198,0.5874382361275747,0.03868766640570134
21,0,-8,896,0.6036919496456151,0.03142984353531865,0.6998693531566698,0.02736761193324986,0.5850339352068042,0.05155570700170638
22,4,-4,896,0.6153813604146832,0.02972246639886215,0.7161489353508514,0.025736191553993933,0.584774943524472,0.03277353498972161
7,4,-4,896,0.5980006347191368,0.016755977461792092,0.6970070026349958,0.017696101832283487,0.5845531947587517,0.03252603741466489
6,5,-3,896,0.5907119432984238,0.02314458266555605,0.6892344254900069,0.019517245386499137,0.5841945851343638,0.03707722824547012
1,6,-2,896,0.5979794774145774,0.037544434280590636,0.6882540829994174,0.03016953271208176,0.5836493742790889,0.04358033584865743
18,4,-4,896,0.5878662858351846,0.02761099984355167,0.6855367498095194,0.0248753442759084,0.5817707023719721,0.024141723943186314
